日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2022-10-20,SZ000005,ST星源,1.72,3235890,1057946242,1058536842,182068.336824
2022-10-20,SH600654,中安科,2.44,4630200,755043154,1283020992,313057.122048
2022-10-20,SH600651,飞乐音响,3.29,6701100,1241584875,2507028015,824812.216935
2022-10-20,SH600602,云赛智联,6.15,10193899,1074302990,1367673455,841119.174825
2022-10-20,SH600601,方正科技,2.54,10958703,2194891204,2194891204,557502.365816
2022-10-20,SH600653,申华控股,1.97,13471562,1946380317,1946380317,383436.922449
2022-10-20,SZ000004,*ST国华,8.63,876100,116328474,132848008,114647.830904
2022-10-20,SZ000002,万  科Ａ,16.12,44992317,9717360740,11630709471,18748703.667252
2022-10-20,SZ000001,平安银行,11.2,78192323,19405546950,19405918198,21734628.38176
2022-10-20,SZ000009,中国宝安,12.27,68381082,2551430324,2579213965,3164695.535055
2022-10-20,SH600603,广汇物流,8.78,17016821,1254820847,1254820847,1101732.703666
2022-10-20,SZ000012,南  玻Ａ,6.86,45534857,1956774751,3070692107,2106494.785402
2022-10-20,SZ000016,深康佳Ａ,5.09,9663504,1596567800,2407945408,1225644.212672
2022-10-20,SH600605,汇通能源,18.16,20058752,206282429,206282429,374608.891064
2022-10-20,SH600608,*ST沪科,4.62,2391004,318371441,328861441,151933.985742
2022-10-20,SH600604,市北高新,4.73,5950276,1407454804,1873304804,886073.172292
2022-10-20,SH600606,绿地控股,2.79,36254311,14054218314,14054218314,3921126.909606
2022-10-20,SZ000011,深物业A,9.17,1739800,526475543,595979092,546512.827364
2022-10-20,SZ000017,深中华A,4.12,7784801,302981008,551347947,227155.354164
2022-10-20,SZ000007,全新好,7.9,4831500,308948044,346448044,273693.95476
2022-10-20,SZ000006,深振业Ａ,4.1,8926694,1349995046,1349995046,553497.96886
2022-10-20,SZ000020,深华发Ａ,9.27,2851700,181165391,283161227,262490.457429
2022-10-20,SZ000008,神州高铁,2.32,20645654,2694491711,2780795346,645144.520272
2022-10-20,SZ000014,沙河股份,8.17,9985418,242046224,242046224,197751.765008
2022-10-20,SH600609,金杯汽车,4.37,5027396,1092667132,1311200558,572994.643846
2022-10-20,SH600611,大众交通,2.88,3444500,1563316364,2364122864,680867.384832
2022-10-20,SH600612,老凤祥,38.8,1050365,317109630,523117764,2029696.92432
2022-10-20,SH600655,豫园股份,6.55,8432507,3884603814,3891102974,2548672.44797
2022-10-20,SH600616,金枫酒业,5.74,6915433,669004950,669004950,384008.8413
2022-10-20,SZ000019,深粮控股,6.98,4740823,416184832,1152535254,804469.607292
2022-10-20,SH600618,氯碱化工,10.17,3739607,749839976,1156399976,1176058.775592
2022-10-20,SH600619,海立股份,5.89,6430800,712180384,1084419906,638723.324634
2022-10-20,SH600620,天宸股份,10.95,2129052,686677113,686677113,751911.438735
2022-10-20,SZ000501,武商集团,10.12,3181358,768073142,768992731,778220.643772
2022-10-20,SZ000503,国新健康,10.2,18014679,898779932,907215204,925359.50808
2022-10-20,SH600621,华鑫股份,11.02,9246700,1060899292,1060899292,1169111.019784
2022-10-20,SH600622,光大嘉宝,2.86,19583564,1499685402,1499685402,428910.024972
2022-10-20,SH600623,华谊集团,6.54,4712631,1862196763,2131449598,1393968.037092
2022-10-20,SZ000504,*ST生物,13.66,3524900,310673201,311573901,425609.948766
2022-10-20,SZ000505,京粮控股,7.76,4333178,620815364,726950251,564113.394776
2022-10-20,SH600624,ST复华,5.92,3505551,684712010,684712010,405349.50992
2022-10-20,SH600626,申达股份,3.43,3101600,852291316,1107978710,380036.69753
2022-10-20,SH600628,新世界,6.48,1378241,646875384,646875384,419175.248832
2022-10-20,SH600630,龙头股份,5.48,6823200,424861597,424861597,232824.155156
2022-10-20,SH600635,大众公用,3,9089305,2418791675,2952434675,885730.4025
2022-10-20,SH600637,东方明珠,6.24,8005993,3414500201,3414500201,2130648.125424
2022-10-20,SH600636,*ST国化,9.6,64348182,440449035,440449035,422831.0736
2022-10-20,SH600638,新黄浦,5.21,2701420,673396786,673396786,350839.725506
2022-10-20,SH600639,浦东金桥,10.55,2046108,850236703,1122412893,1184145.602115
2022-10-20,SZ000507,珠海港,5.38,10912705,902337753,919734895,494817.37351
2022-10-20,SH600641,先导基电,19.93,34786612,957930404,957930404,1909155.295172
