feature,weight,abs_weight_rank
z_stoch_k_63,0.4343229406111113,1
z_rsi_21,0.35845964202901204,2
z_ewma_active_return_63,0.34558952066498,3
z_macd_21_63,0.31690191714596466,4
z_stoch_k_21,0.3063976423137754,5
z_ewma_active_return_21,0.30246379220340597,6
z_rsi_63,0.2813417443460416,7
z_market_momentum_21,0.2678842531357895,8
z_market_momentum_63,0.21168786544361684,9
z_rsi_8,0.15163892297646128,10
z_ewma_active_return_8,0.13498383213984427,11
z_volatility_ratio_21_63,0.1037935316610706,12
z_market_volatility_21,0.10261964566489463,13
z_stoch_k_8,0.08723348229824864,14
z_market_breadth_ma_21,0.07570707521983111,15
z_market_breadth_ma_63,0.05970955458356258,16
z_macd_8_21,0.04885518909878254,17
z_market_volatility_63,0.01041029112884666,18
z_market_return,0.0,19
z_active_beta,0.0,19
z_downside_deviation,0.0,19
z_market_breadth,0.0,19
