gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
4.0,1.2,3.49,2,1.9288555532264011,0.030275722268560346,0.015696210230941386,0.00338721103289342,-0.01083412441911169,6.0,0.030275722268560346,0.015696210230941386,0.12020434955675467,31.571428571428573,30.666666666666668,32.5,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.2,3.49,2,1.8704285334957935,0.03598416070893484,0.019238457960048954,0.00913104266988866,-0.01344817335557369,14.0,0.03598416070893484,0.019238457960048954,0.1163687333453472,14.733333333333333,13.857142857142858,15.625,14.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,1.6,3.49,2,1.8470647965756555,0.028276275914763227,0.015308762295283686,0.003253328516357042,-0.010694756316911636,6.0,0.028276275914763227,0.015308762295283686,0.1152274624023073,31.571428571428573,32.0,31.5,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.2,3.49,2,1.8398707957253815,0.03159084919488597,0.017170145462541062,0.005990436307188742,-0.01169389073461602,10.0,0.03159084919488597,0.017170145462541062,0.11465514957024119,20.09090909090909,17.4,22.5,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.6,3.49,2,1.8171767933184337,0.03536358520798233,0.01946072904849461,0.006613866111125678,-0.014331010097798247,10.0,0.03536358520798233,0.01946072904849461,0.11311361480087014,20.09090909090909,19.4,20.833333333333332,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.2,3.49,2,1.8166653439860125,0.034655135261909775,0.019076235134134097,0.006488609931093446,-0.014043124652066363,10.0,0.034655135261909775,0.019076235134134097,0.11310844411595432,20.09090909090909,19.4,20.833333333333332,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.6,3.49,2,1.7841221023657368,0.03016194907917158,0.016905765047794088,0.005882849766917126,-0.011963541913909359,10.0,0.03016194907917158,0.016905765047794088,0.11126590189818368,20.09090909090909,18.0,22.0,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.6,3.49,2,1.7579174834737448,0.034931757383721784,0.019871101864630557,0.010663285970385055,-0.013922415134494104,16.0,0.034931757383721784,0.019871101864630557,0.10948051805136765,13.0,12.125,13.88888888888889,16.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,1.2,3.49,2,1.7543184439685935,0.02756756433014007,0.015714116456404078,0.00338721103289342,-0.010834124419111801,6.0,0.02756756433014007,0.015714116456404078,0.10951611254839455,31.571428571428573,31.0,32.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.6,3.49,2,1.743083188613833,0.02903532939296949,0.01665745478049129,0.004654356486389583,-0.013126582470775361,8.0,0.02903532939296949,0.01665745478049129,0.1087702091680098,24.555555555555557,23.25,25.8,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.2,3.49,2,1.7249176702357885,0.03143546863755442,0.01822432987961526,0.0064042597287938974,-0.012314991271227815,10.0,0.03143546863755442,0.01822432987961526,0.10756657679146175,20.09090909090909,16.2,23.5,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,2.0,3.49,2,1.715138898089055,0.026036880082211722,0.015180624794423975,0.003242570991571264,-0.010626883034880574,6.0,0.026036880082211722,0.015180624794423975,0.10714403636847737,31.571428571428573,32.0,31.5,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.8,3.49,2,1.700029912020152,0.029117069470719015,0.0171273865623453,0.005888686224066525,-0.012494183028117556,10.0,0.029117069470719015,0.0171273865623453,0.10610713510870544,20.09090909090909,18.8,21.333333333333332,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,1.6,3.49,2,1.6752944351879455,0.025682688911362606,0.015330253818028921,0.003253328516357042,-0.011074743361657924,6.0,0.025682688911362606,0.015330253818028921,0.10468875310471619,31.571428571428573,32.0,31.5,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.8,3.49,2,1.6009593579790604,0.030063090460779263,0.018778172169672574,0.0077445528062602765,-0.014920031716996962,12.0,0.030063090460779263,0.018778172169672574,0.09996121548042017,17.0,16.5,17.571428571428573,12.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.4,3.49,2,1.5991727492194,0.026684038163542034,0.016686151121926788,0.004632567096465776,-0.011631572022119507,8.0,0.026684038163542034,0.016686151121926788,0.09994792763802396,24.555555555555557,23.75,25.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.0,3.49,2,1.5693453638277322,0.026708588346856077,0.017018936024198107,0.006984960766962584,-0.013408897034724143,12.0,0.026708588346856077,0.017018936024198107,0.09810280955943738,17.0,15.833333333333334,18.142857142857142,12.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,3.6,3.49,2,1.566246792493652,0.026548055944571214,0.01695011033497699,0.005651585451198955,-0.013925365765073305,10.0,0.026548055944571214,0.01695011033497699,0.09791555700190761,20.09090909090909,19.8,20.5,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,1.2,3.49,2,1.5477588465016199,0.024147773883510082,0.015601767638473523,0.003329315323849903,-0.011275636032419767,6.0,0.024147773883510082,0.015601767638473523,0.0968364676458808,31.571428571428573,31.333333333333332,32.0,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.0,3.49,2,1.517799464648666,0.025276023069662257,0.01665307154098453,0.004636558564505724,-0.013186343556943703,8.0,0.025276023069662257,0.01665307154098453,0.09495258258068388,24.555555555555557,24.0,25.2,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,2.4,3.49,2,1.4978317849085532,0.022412932998234325,0.014963584845812774,0.005012686681744364,-0.010636071048659157,10.0,0.022412932998234325,0.014963584845812774,0.09378755327297246,20.09090909090909,20.0,20.333333333333332,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,3.2,3.49,2,1.475043133786048,0.024359754902296915,0.016514605128713646,0.005521082793223871,-0.01348452615595852,10.0,0.024359754902296915,0.016514605128713646,0.0923291822918957,20.09090909090909,19.4,20.833333333333332,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,2.0,3.49,2,1.3826685730855595,0.019972325704632476,0.014444767237359196,0.0030283972405395648,-0.010428237822177056,6.0,0.019972325704632476,0.014444767237359196,0.08669939756312585,31.571428571428573,32.0,31.5,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,1.2,3.49,2,1.3201504280586729,0.020583605855702736,0.015591863940817444,0.003329315323849903,-0.012885042493885002,6.0,0.020583605855702736,0.015591863940817444,0.08281120650910427,31.571428571428573,31.333333333333332,32.0,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,2.0,3.49,2,1.3066594483536023,0.01892419671941381,0.014482883618419777,0.0030283972405395648,-0.01399577154554732,6.0,0.01892419671941381,0.014482883618419777,0.08200134973534615,31.571428571428573,31.666666666666668,31.75,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.4,3.49,2,1.3031026838381063,0.022115874531872137,0.0169717051512264,0.006984960766962584,-0.013408897034723921,12.0,0.022115874531872137,0.0169717051512264,0.08173063495307287,17.0,15.833333333333334,18.142857142857142,12.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,3.2,3.49,2,1.2941175606731607,0.019869379127288145,0.015353612168706447,0.004141581412188958,-0.010960333818011314,8.0,0.019869379127288145,0.015353612168706447,0.08120857311830913,24.555555555555557,25.0,24.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,2.8,3.49,2,1.2930895303008965,0.019354300946360148,0.014967487163751517,0.004043445909924894,-0.010676807569045432,8.0,0.019354300946360148,0.014967487163751517,0.08115267654096874,24.555555555555557,25.0,24.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,3.6,3.49,2,1.2898293165842871,0.020261949513308508,0.01570901610995011,0.00426755789201882,-0.011166372066517383,8.0,0.020261949513308508,0.01570901610995011,0.08093678209620271,24.555555555555557,25.0,24.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,2.8,3.49,2,1.282164646503124,0.020051494914063994,0.01563878318494499,0.005216651285919502,-0.01336867897184435,10.0,0.020051494914063994,0.01563878318494499,0.08046481101463848,20.09090909090909,19.4,20.833333333333332,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,2.0,3.49,2,1.2260505347131638,0.017743762529682794,0.014472292966157362,0.0030283972405395648,-0.011520214498423331,6.0,0.017743762529682794,0.014472292966157362,0.07701471376005206,31.571428571428573,31.333333333333332,32.0,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,1.6,3.49,2,1.2090401389544094,0.018304735914133063,0.015139890996475261,0.0031981026625208173,-0.011254336205928417,6.0,0.018304735914133063,0.015139890996475261,0.07595272489382911,31.571428571428573,32.333333333333336,31.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,3.2,3.49,2,1.2016680272852196,0.018009161104078686,0.014986802257495825,0.004043445909924894,-0.011815195154678215,8.0,0.018009161104078686,0.014986802257495825,0.07549855116097293,24.555555555555557,24.5,24.8,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,1.2,3.49,2,1.2010115553629366,0.018698926627925383,0.015569314503618334,0.003329315323849903,-0.012929480011495742,6.0,0.018698926627925383,0.015569314503618334,0.07545055187146961,31.571428571428573,31.333333333333332,32.0,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,3.6,3.49,2,1.2008098651849235,0.017996370364415926,0.014986860856314253,0.004043445909924894,-0.011815195154678992,8.0,0.017996370364415926,0.014986860856314253,0.07544544350703884,24.555555555555557,24.75,24.6,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,1.6,3.49,2,1.1649184731264288,0.017251339958898493,0.014809053471870046,0.0031109553067107374,-0.013235358456969104,6.0,0.017251339958898493,0.014809053471870046,0.07322556385539311,31.571428571428573,32.333333333333336,31.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,2.4,3.49,2,1.15922645829212,0.017091851020538895,0.014744186434219417,0.003975003473730372,-0.010965383607867474,8.0,0.017091851020538895,0.014744186434219417,0.07287364591084243,24.555555555555557,25.5,24.0,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,2.4,3.49,2,1.1591215436057218,0.017090312208814185,0.014744193396363528,0.003975003473730372,-0.010965383607867696,8.0,0.017090312208814185,0.014744193396363528,0.07286714745659442,24.555555555555557,25.25,24.2,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,1.2,3.49,2,1.1295054282829287,0.017655391760805772,0.015631081815733684,0.003329315323849903,-0.014178363033893415,6.0,0.017655391760805772,0.015631081815733684,0.07102556757331588,31.571428571428573,30.666666666666668,32.5,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,1.6,3.49,2,1.1188740565991238,0.016958190846275922,0.015156478735257507,0.0031981026625208173,-0.012115325618483164,6.0,0.016958190846275922,0.015156478735257507,0.07037065154594876,31.571428571428573,32.333333333333336,31.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,3.6,3.49,2,1.105113084099439,0.016552988559874304,0.01497854726185185,0.004043445909924894,-0.012286192500701287,8.0,0.016552988559874304,0.01497854726185185,0.06951915262537013,24.555555555555557,25.0,24.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,2.8,3.49,2,1.1050081089239305,0.016551423652289676,0.01497855402021225,0.004043445909924894,-0.012286192500701287,8.0,0.016551423652289676,0.01497855402021225,0.06951264701844365,24.555555555555557,24.75,24.6,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,2.4,3.49,2,1.0031042587911894,0.014794919158188646,0.014749134029216023,0.003975003473730371,-0.014055961070847833,8.0,0.014794919158188646,0.014749134029216023,0.06319257488620128,24.555555555555557,25.5,24.0,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.0,3.49,2,0.9846697917098691,0.014219586896418557,0.014440969974031994,0.0030283972405395648,-0.011530622465044438,6.0,0.014219586896418557,0.014440969974031994,0.062047559671643174,31.571428571428573,32.333333333333336,31.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
