gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
1.0,3.6,3.49,2,3.765496717787242,0.10191825769666196,0.02706635148962585,0.014221153794375704,-0.00977281179609335,19.0,0.10191825769666196,0.02706635148962585,0.22677578498855228,11.1,12.8,9.4,19.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.2,3.49,2,3.71078494993094,0.10052547997108796,0.027090085070264933,0.011227226679770294,-0.00931221261073123,15.0,0.10052547997108796,0.027090085070264933,0.22363646263920275,13.875,16.25,11.5,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.6,3.49,2,3.5287351915303993,0.09198547435862214,0.026067548106019366,0.012567845547597066,-0.008750942576902898,17.0,0.09198547435862214,0.026067548106019366,0.21351075582943005,12.333333333333334,13.777777777777779,10.88888888888889,17.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.8,3.49,2,3.5200715003421466,0.09222137018130594,0.02619872072835513,0.010831920151455954,-0.009038577869336706,15.0,0.09222137018130594,0.02619872072835513,0.2129695663791975,13.875,16.0,11.75,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.4,3.49,2,3.3883037398060543,0.08978409119758513,0.02649824162538756,0.011101925218493902,-0.009057589856735437,15.0,0.08978409119758513,0.02649824162538756,0.2052683764783526,13.875,15.875,11.875,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.0,3.49,2,3.338432325401854,0.08594125342418701,0.02574299702595951,0.010923123297063814,-0.008679583088601839,15.0,0.08594125342418701,0.02574299702595951,0.20259523520355327,13.875,15.875,11.875,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.2,3.49,2,3.1256194840901057,0.08063100690467184,0.02579680838153727,0.013145863425790166,-0.012843231160722612,18.0,0.08063100690467184,0.02579680838153727,0.19020187843429642,11.68421052631579,13.6,9.555555555555555,18.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.2,3.49,2,2.6418001718830637,0.07022180760852348,0.026581044378716077,0.012131880735843209,-0.010665227586791115,18.0,0.07022180760852348,0.026581044378716077,0.1616936830842712,11.68421052631579,12.333333333333334,11.1,18.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.6,3.49,2,2.3843901179173765,0.060633197438405784,0.025429226946874488,0.010530035077124083,-0.012614113457858678,15.0,0.060633197438405784,0.025429226946874488,0.14664309566096423,13.875,16.5,11.25,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.6,3.49,2,2.305398338990574,0.05880404750641133,0.025507109340661215,0.009858163942572927,-0.01094784669934612,15.0,0.05880404750641133,0.025507109340661215,0.1419366418957978,13.875,15.75,12.0,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.2,3.49,2,2.107258822710128,0.05412715368167986,0.025686049145148382,0.009858163942572927,-0.010947846699346009,15.0,0.05412715368167986,0.025686049145148382,0.13009984064510768,13.875,15.875,11.875,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.0,3.49,2,1.9170919782864295,0.050095385689902905,0.026130924471699103,0.010529941153941645,-0.012684594006210137,15.0,0.050095385689902905,0.026130924471699103,0.1186727818042187,13.875,16.625,11.125,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.8,3.49,2,1.5357267293692223,0.03546860357785131,0.023095647747447576,0.008614090068423985,-0.00986663280421518,15.0,0.03546860357785131,0.023095647747447576,0.09579993307358087,13.875,16.5,11.25,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
