feature,weight,abs_weight_rank
z_stoch_k_21,0.4266660870785609,1
z_rsi_21,0.38286049053156096,2
z_ewma_active_return_21,0.3809203986555837,3
z_stoch_k_63,0.336194814452032,4
z_macd_21_63,0.2972233725809437,5
z_ewma_active_return_8,0.2538146198732131,6
z_rsi_8,0.25213625849092663,7
z_ewma_active_return_63,0.251261953292798,8
z_stoch_k_8,0.18430013285624486,9
z_rsi_63,0.17697790892421425,10
z_market_momentum_21,0.17120529870843468,11
z_macd_8_21,0.14749536988180986,12
z_volatility_ratio_21_63,0.08920401506125566,13
z_market_momentum_63,0.06242723129057449,14
z_downside_deviation,0.045904630381566155,15
z_market_breadth_ma_21,0.04249693192745481,16
z_market_volatility_21,0.030754775132623587,17
z_market_return,0.017615653146390062,18
z_market_breadth_ma_63,0.01592285930526046,19
z_market_breadth,0.00919019220534,20
z_active_beta,0.00787192430024923,21
z_market_volatility_63,7.665570362664666e-05,22
