gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
1.0,3.6,3.49,2,-0.1342049958497604,-0.0016788669208420703,0.012509720001195228,0.007606747675093713,-0.00893289120114038,14.0,-0.0016788669208420703,0.012509720001195228,-0.008067099851286076,14.666666666666666,16.875,12.285714285714286,14.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.4,3.49,2,-0.25623579040372807,-0.0025336978851822067,0.009888149821654825,0.0030395430187683103,-0.006526667329242564,7.0,-0.0025336978851822067,0.009888149821654825,-0.015850197420214294,27.5,34.25,21.0,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.8,3.49,2,-0.2837288831248423,-0.0030390307654305504,0.01071103770599682,0.003316623250648438,-0.007213155605796273,7.0,-0.0030390307654305504,0.01071103770599682,-0.01756287750629563,27.5,34.0,21.25,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.2,3.49,2,-0.3270876248203421,-0.0038825722901228987,0.011870128966986939,0.005716141830282362,-0.007941281746254969,12.0,-0.0038825722901228987,0.011870128966986939,-0.020270560693708643,18.333333333333332,19.0,14.666666666666666,12.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.2,3.49,2,-0.426985160146779,-0.004912662047393934,0.011505463200887764,0.003576935692778989,-0.009157901849730865,7.0,-0.004912662047393934,0.011505463200887764,-0.026601056687954667,27.5,34.0,21.25,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.6,3.49,2,-0.426985160146779,-0.004912662047393934,0.011505463200887764,0.003576935692778989,-0.009157901849730865,7.0,-0.004912662047393934,0.011505463200887764,-0.026601056687954667,27.5,34.0,21.25,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.8,3.49,2,-0.5278379390350154,-0.006285359650982758,0.011907745135701213,0.005631718266890292,-0.007901439973396429,11.0,-0.006285359650982758,0.011907745135701213,-0.03297999439521076,18.333333333333332,22.5,14.333333333333334,11.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,1.6,3.49,2,-0.6272994886227651,-0.005667723425145987,0.009035115647215756,0.0012889032027822167,-0.00983952781324271,3.0,-0.005667723425145987,0.009035115647215756,-0.03934342698580698,55.0,67.0,43.5,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,3.2,3.49,2,-0.6343550519411238,-0.007090436564667013,0.011177394336137635,0.00341005866392956,-0.010838017903748942,7.0,-0.007090436564667013,0.011177394336137635,-0.03975018325301356,27.5,34.75,20.5,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,2.0,3.49,2,-0.6480873059219214,-0.005806934860213442,0.008960112020637285,0.0012763089094078755,-0.009932133022267808,3.0,-0.005806934860213442,0.008960112020637285,-0.04066186220491519,55.0,66.5,44.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,3.6,3.49,2,-0.6526097619345236,-0.007293945028704729,0.011176579717538047,0.00341005866392956,-0.011015820217127437,7.0,-0.007293945028704729,0.011176579717538047,-0.040908434461248096,27.5,34.5,20.75,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,1.2,3.49,2,-0.6554428675805457,-0.00587057474449848,0.008956653638125157,0.0012889032027822167,-0.009537349554740393,3.0,-0.00587057474449848,0.008956653638125157,-0.04112798982757704,55.0,63.5,47.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,1.2,3.49,2,-0.7050778364913296,-0.0063319617005748174,0.008980514452254637,0.0012889032027822167,-0.009740972891757127,3.0,-0.0063319617005748174,0.008980514452254637,-0.044273415439744376,55.0,65.5,45.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,3.2,3.49,2,-0.7345329918694921,-0.007503680210999342,0.010215579550622222,0.0022771964949016657,-0.011202767511522382,5.0,-0.007503680210999342,0.010215579550622222,-0.046123110662918736,36.666666666666664,46.333333333333336,27.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
