feature,weight,abs_weight_rank
z_stoch_k_63,0.40713952317457963,1
z_ewma_active_return_63,0.36942930555233694,2
z_rsi_21,0.3513407686145051,3
z_stoch_k_21,0.34420490614162774,4
z_ewma_active_return_21,0.3415082833064106,5
z_macd_21_63,0.32764914035964365,6
z_rsi_63,0.24999735804725207,7
z_market_momentum_21,0.2147730705083745,8
z_rsi_8,0.1906973282553936,9
z_ewma_active_return_8,0.1764110938662232,10
z_stoch_k_8,0.12719293203644108,11
z_market_momentum_63,0.12144117395423032,12
z_volatility_ratio_21_63,0.08629319566751786,13
z_macd_8_21,0.0719516609104147,14
z_market_breadth_ma_21,0.06387633299329729,15
z_market_volatility_21,0.05401172095736035,16
z_market_breadth_ma_63,0.05115724550974932,17
z_downside_deviation,0.05082910885398073,18
z_market_return,9.65463512421392e-05,19
z_active_beta,0.0,20
z_market_volatility_63,0.0,20
z_market_breadth,0.0,20
