lambda,rebalance_date,signal_date,period_end,stock_code,stock_name,weight,composite_score,active_factors,factor_weights,state_conditioned_icir,factor_states
0.6,2020-07-01,2020-06-30,2020-07-31,SZ002604,龙力退,0.04999999999996196,3.20849439879793,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SZ300090,盛运退,0.049999999999971005,2.4540886740969574,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SZ002509,天茂退,0.049999999999968826,2.353002160145002,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SZ300431,暴风退,0.04999999999996743,2.3270342707308656,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SH600634,退市富控,0.049999999999969826,2.180384904380279,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SZ002356,赫美集团,0.049999999999972636,1.9598494601112488,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SH600671,天目药业,0.049999999999974044,1.929472422390972,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SZ000890,法尔胜,0.0499999999999745,1.8885230490274405,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SZ000835,长动退,0.04999999999997387,1.8712005863474905,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
0.6,2020-07-01,2020-06-30,2020-07-31,SH600306,退市商城,0.049999999999973496,1.838244365949206,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""momentum"": """", ""value"": """", ""quality"": """", ""growth"": """", ""size"": ""Bear"", ""lowvol"": """", ""liquidity"": ""Bear""}"
