gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
1.0,2.8,3.49,2,3.4090874205950494,0.0472839331961612,0.01386996793056949,0.008345141714220102,-0.008489033355006503,15.0,0.0472839331961612,0.01386996793056949,0.21028567762909703,13.875,16.375,11.375,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.6,3.49,2,3.294820092167851,0.04019254108722725,0.012198705836099923,0.005979080523246205,-0.007175911943202884,12.0,0.04019254108722725,0.012198705836099923,0.2038916338980132,17.076923076923077,20.5,14.142857142857142,12.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.6,3.49,2,3.2815600911434646,0.04412773370605616,0.013447181365092658,0.01025957889584662,-0.008167121664586663,19.0,0.04412773370605616,0.013447181365092658,0.20272846885149126,11.1,12.8,9.4,19.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.2,3.49,2,3.281373180346885,0.04558217489431171,0.013891188959340817,0.010570512838012129,-0.008489033355006503,19.0,0.04558217489431171,0.013891188959340817,0.20258969804549185,11.1,12.8,9.4,19.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.2,3.49,2,2.910301770328347,0.034230878271633625,0.011761968679891096,0.005800892669026867,-0.008411610159897775,12.0,0.034230878271633625,0.011761968679891096,0.1806462309886317,17.076923076923077,20.333333333333332,14.285714285714286,12.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.6,3.49,4,2.8729233089424833,0.08324275565778416,0.028974931352562152,0.012305758758222637,-0.01868589971426493,24.0,0.08324275565778416,0.028974931352562152,0.1747756403114828,14.8,14.0,7.0,24.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.2,3.49,3,2.7740082366534766,0.07852825278161268,0.028308586738858436,0.011995855678039034,-0.018697482025467504,26.0,0.07852825278161268,0.028308586738858436,0.16913826032752644,10.571428571428571,11.4,7.666666666666667,26.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.6,3.49,3,2.7631130056265247,0.07808696253801539,0.02826050269352248,0.011995855678039034,-0.018697482025467616,26.0,0.07808696253801539,0.02826050269352248,0.16851051361167557,10.571428571428571,11.3,7.333333333333333,26.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.8,3.49,4,2.7608738854720283,0.07853213158465899,0.028444664567223544,0.011327169594815802,-0.017551782702118768,23.0,0.07853213158465899,0.028444664567223544,0.1683456369337943,13.058823529411764,13.25,7.666666666666667,23.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.0,3.49,2,2.718477725587338,0.03246049636836901,0.011940688740186675,0.006801202827296252,-0.008535844946143678,14.0,0.03246049636836901,0.011940688740186675,0.1689140338749711,14.8,18.571428571428573,11.5,14.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.4,3.49,3,2.704917830760827,0.07733456757275392,0.028590357419841332,0.0110791595175247,-0.018852133287471817,24.0,0.07733456757275392,0.028590357419841332,0.1650482132124972,11.68421052631579,12.555555555555555,7.666666666666667,24.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.8,3.49,3,2.6460527045143754,0.07523573204965972,0.028433194819325255,0.011231789226924898,-0.018639112608893615,26.0,0.07523573204965972,0.028433194819325255,0.1616288935572904,10.571428571428571,11.2,7.666666666666667,26.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.0,3.49,3,2.645053694588761,0.07551859988629328,0.028550875939036283,0.009344297440228922,-0.018739779928830913,20.0,0.07551859988629328,0.028550875939036283,0.16155062797091213,14.8,16.0,7.666666666666667,20.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.0,3.49,2,2.6414015754459976,0.02856085299476363,0.010812764427893234,0.0071043243577213555,-0.0075725175319881766,16.0,0.02856085299476363,0.010812764427893234,0.16441049065523952,13.058823529411764,15.625,10.777777777777779,16.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.2,3.49,2,2.629397592742837,0.028342793350847106,0.010779196508384084,0.004470340319067632,-0.007321481532317375,10.0,0.028342793350847106,0.010779196508384084,0.16368115213012513,20.181818181818183,24.4,16.666666666666668,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.2,3.49,4,2.5980089123556516,0.07200234486827806,0.02771443335927301,0.012477253794432505,-0.01854862553952563,25.0,0.07200234486827806,0.02771443335927301,0.15892788036441868,11.1,10.0,7.333333333333333,25.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.6,3.49,4,2.499837338636096,0.07212568545248987,0.02885215143311742,0.010775866055571143,-0.018286569543733644,21.0,0.07212568545248987,0.02885215143311742,0.1529820330285232,14.8,14.142857142857142,7.333333333333333,21.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.6,3.49,2,2.484156090707347,0.025696367653031738,0.010344103476088279,0.0042741478350021905,-0.007101664766152038,10.0,0.025696367653031738,0.010344103476088279,0.15484389659543984,20.181818181818183,24.0,17.0,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.6,3.49,3,2.36226918374072,0.06742944373198756,0.028544352267767862,0.007807491089467011,-0.01963298559818405,16.0,0.06742944373198756,0.028544352267767862,0.14492147465527197,20.181818181818183,22.8,7.333333333333333,16.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
