gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
1.0,3.6,3.49,2,1.8111756899108924,0.014661983667582312,0.008095285150555253,0.004180917545485325,-0.003759033387377486,9.0,0.014661983667582312,0.008095285150555253,0.11352322254038787,22.1,24.8,19.6,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.2,3.49,2,1.8086637585871805,0.014751403707555122,0.008155967983279564,0.004213051373513852,-0.003794491052535154,9.0,0.014751403707555122,0.008155967983279564,0.1133630644113666,22.1,24.8,19.6,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.8,3.49,2,1.4773179994903936,0.011321521997270878,0.0076635646497072935,0.003955184656019085,-0.0035531585734969173,9.0,0.011321521997270878,0.0076635646497072935,0.09278284315916274,22.1,25.0,19.4,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.2,3.49,2,1.3248249619946395,0.010591195731088687,0.007994411363704016,0.004092608587935523,-0.004257643521276999,9.0,0.010591195731088687,0.007994411363704016,0.08327078486592283,22.1,25.0,19.4,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.6,3.49,2,1.2868258587319712,0.010144900283235225,0.007883662124440005,0.005747600136340565,-0.004586016047486652,13.0,0.010144900283235225,0.007883662124440005,0.08090388694463302,15.785714285714286,17.857142857142858,13.857142857142858,13.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.2,3.49,2,1.1073050412609606,0.008738718554478941,0.00789188004104776,0.004071181532541517,-0.005285100551428834,9.0,0.008738718554478941,0.00789188004104776,0.06970039502288843,22.1,25.2,19.2,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.6,3.49,2,1.0823148415318053,0.00854248089115428,0.007892787351103924,0.004071181532541517,-0.005285100551428834,9.0,0.00854248089115428,0.007892787351103924,0.06813958759326565,22.1,25.0,19.4,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.4,3.49,2,1.05265555370199,0.00813872454375364,0.007731612221235416,0.003982767862788227,-0.005136484460747548,9.0,0.00813872454375364,0.007731612221235416,0.06628724069110692,22.1,25.2,19.2,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,2.0,3.49,2,0.7290421833203053,0.0049033812188492565,0.006725785326327203,0.0024123488893822397,-0.005450813386640108,7.0,0.0049033812188492565,0.006725785326327203,0.04602538533666239,31.571428571428573,31.25,24.25,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.0,3.49,2,0.6554799796221298,0.004623363109675038,0.007053400948020271,0.002901513315892463,-0.00557801213377096,7.0,0.004623363109675038,0.007053400948020271,0.04141872257075434,27.625,32.0,23.5,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.0,3.49,2,0.6415139881707259,0.004729395936448055,0.007372241328570099,0.00383029027705511,-0.005073709655211922,9.0,0.004729395936448055,0.007372241328570099,0.04054888815985482,22.1,25.4,19.0,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.4,3.49,2,0.6367615370402259,0.004027047898737646,0.006324263738441298,0.0022616371946201056,-0.005287937970208101,7.0,0.004027047898737646,0.006324263738441298,0.040231158370922074,31.571428571428573,31.25,24.25,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,1.6,3.49,2,0.6304673766565498,0.00415212541148513,0.006585789471779474,0.0023751490267412455,-0.0052763490429781346,7.0,0.00415212541148513,0.006585789471779474,0.03984122948951212,31.571428571428573,31.75,23.75,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.8,3.49,2,0.5507291243342817,0.004139627481301256,0.007516630768901526,0.0038812529286011716,-0.006003065958218867,9.0,0.004139627481301256,0.007516630768901526,0.03485808559211298,22.1,25.2,19.2,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,3.2,3.49,2,0.5324324563048324,0.0038314619845989384,0.007196146551977515,0.0025539856999066877,-0.006264605710916138,7.0,0.0038314619845989384,0.007196146551977515,0.033702899509619265,31.571428571428573,31.25,24.25,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.6,3.49,2,0.5246453097220998,0.003626123375916279,0.006911571129525595,0.00360970875733963,-0.00541834874562086,9.0,0.003626123375916279,0.006911571129525595,0.03320768718905602,22.1,25.4,19.0,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.4,3.49,2,0.5094303285519314,0.002159467699129669,0.004238985349121264,0.0010380887356625835,-0.003333140472824514,4.0,0.002159467699129669,0.004238985349121264,0.032190133894940486,44.2,65.5,30.333333333333332,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,3.6,3.49,2,0.3128900844131806,0.0019342427353197245,0.006181860121733675,0.0022245013240249807,-0.006509448631460413,6.0,0.0019342427353197245,0.006181860121733675,0.019885958280861395,31.571428571428573,41.0,24.75,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,3.6,3.49,2,0.2922610624020956,0.0019985185565565278,0.0068381280083316285,0.0024325275034717446,-0.007190931896607022,7.0,0.0019985185565565278,0.0068381280083316285,0.01860778533009449,31.571428571428573,31.25,24.25,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,2.4,3.49,2,0.26793561658633946,0.0011168425360197354,0.004168324279724284,0.0010380887356625835,-0.003333140472824514,4.0,0.0011168425360197354,0.004168324279724284,0.017000255145249228,44.2,66.0,30.0,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,3.6,3.49,2,0.2620988570046233,0.0017923819715957023,0.006838572255063614,0.0024325275034717446,-0.0073708651716960505,7.0,0.0017923819715957023,0.006838572255063614,0.016711338104331792,31.571428571428573,31.0,24.5,7.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
