feature,weight,abs_weight_rank
z_stoch_k_21,0.4499670569543864,1
z_ewma_active_return_21,0.372190886891611,2
z_rsi_21,0.33712604053429335,3
z_stoch_k_63,0.32023293935848945,4
z_ewma_active_return_63,0.31743413618343447,5
z_rsi_8,0.2781072771464077,6
z_ewma_active_return_8,0.24565793326928645,7
z_market_momentum_21,0.24367975063182734,8
z_macd_8_21,0.23633980591267764,9
z_macd_21_63,0.19809743893616585,10
z_stoch_k_8,0.18353521609760523,11
z_rsi_63,0.0924166317893786,12
z_downside_deviation,0.05283877705435408,13
z_volatility_ratio_21_63,0.0456524872761745,14
z_market_momentum_63,0.04326509686597104,15
z_market_breadth_ma_21,0.018804362357713083,16
z_market_return,0.01748992616179448,17
z_market_volatility_21,0.015018238288695975,18
z_market_volatility_63,0.0024895031973956416,19
z_active_beta,0.0005482566053904507,20
z_market_breadth,0.00038182564345213876,21
z_market_breadth_ma_63,5.562515351839553e-05,22
