gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
1.0,3.6,3.49,2,2.9051824881561283,0.09023816194254408,0.031061099366538163,0.009466441551189446,-0.02078690780677872,12.0,0.09023816194254408,0.031061099366538163,0.17622255456442204,16.692307692307693,20.142857142857142,12.666666666666666,12.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,3.2,3.49,2,2.6034420944553194,0.07341281399489419,0.028198366367066557,0.007923455364926146,-0.01908511705964344,11.0,0.07341281399489419,0.028198366367066557,0.15916859580824744,18.083333333333332,22.5,13.666666666666666,11.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.6,3.49,2,2.487878555434748,0.06975709093514104,0.028038784603355064,0.006390644527877273,-0.019682630804090384,9.0,0.06975709093514104,0.028038784603355064,0.1523977342455678,21.7,27.2,16.2,9.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.8,3.49,2,2.4858333637207606,0.06290558093525167,0.02530563064013892,0.003311000347530491,-0.017195932197618502,5.0,0.06290558093525167,0.02530563064013892,0.1526781999724108,36.166666666666664,42.666666666666664,29.666666666666668,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,3.2,3.49,2,2.4513812893863025,0.0631868504600217,0.02577601890558624,0.003341098520014732,-0.01764709535370579,5.0,0.0631868504600217,0.02577601890558624,0.15056795634769657,36.166666666666664,42.666666666666664,29.666666666666668,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.4,3.49,2,2.2698480836533506,0.053471889160034536,0.02355747485707097,0.0030979617489754535,-0.015955559364117522,5.0,0.053471889160034536,0.02355747485707097,0.14004980238377068,36.166666666666664,43.0,29.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.8,3.49,2,2.2459003033377827,0.05639309792020675,0.02510935050696471,0.003277641364610666,-0.0171178662914917,5.0,0.05639309792020675,0.02510935050696471,0.13843698581784356,36.166666666666664,43.0,29.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,2.4,3.49,2,2.170731741600473,0.047107535590101834,0.021701223917870945,0.0017021488215875284,-0.01485653763078898,3.0,0.047107535590101834,0.021701223917870945,0.13431437304386995,54.25,66.5,42.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.0,3.49,2,2.1103411961775973,0.04036325729809631,0.019126413004307154,0.001527827502283348,-0.012844996086111782,3.0,0.04036325729809631,0.019126413004307154,0.13093770893798357,54.25,67.0,41.5,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.6,3.49,2,2.0569050712955046,0.034880243523288446,0.016957634073661822,0.0013748643251533816,-0.011180516701571386,3.0,0.034880243523288446,0.016957634073661822,0.12790624181436805,54.25,68.0,40.5,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.6,3.49,2,2.0292965264528253,0.033097596719857014,0.016309886844241058,0.00043781560690373444,-0.01087134663191136,1.0,0.033097596719857014,0.016309886844241058,0.12628477771638635,108.5,142.0,75.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,3.6,3.49,2,2.027014558099969,0.05158446561671148,0.02544849291317592,0.001971966005630996,-0.017544119617419196,3.0,0.05158446561671148,0.02544849291317592,0.12531743900216005,54.25,64.5,44.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,3.2,3.49,2,2.0222111839549566,0.04962217277253966,0.024538571028714557,0.0018994973804364725,-0.01693535753263653,3.0,0.04962217277253966,0.024538571028714557,0.12511041267444475,54.25,64.5,44.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
