gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
10.0,1.6,3.49,2,1.2765183356045309,0.014241049335142364,0.01115616512347088,0.0017292845880820752,-0.007957756040315345,4.0,0.014241049335142364,0.01115616512347088,0.08019954870961694,44.2,47.666666666666664,39.5,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.4,3.49,2,1.2300524928032086,0.02457298237033867,0.019977181879724873,0.011501596195392122,-0.009820610813805253,15.0,0.02457298237033867,0.019977181879724873,0.07718232327935748,13.8125,15.5,12.25,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,1.6,3.49,2,1.1519137681580263,0.02239574771914321,0.019442208556075553,0.0084496801943047,-0.01805645019213653,11.0,0.02239574771914321,0.019442208556075553,0.07237873021733247,18.416666666666668,22.666666666666668,14.333333333333334,11.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
2.0,1.2,3.49,2,1.150142639193867,0.022893102674121923,0.019904576957661235,0.010983188483089167,-0.014319046279262726,14.0,0.022893102674121923,0.019904576957661235,0.07226552943535984,14.733333333333333,17.75,11.428571428571429,14.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.8,3.49,2,1.0779229963413692,0.02103009711141146,0.0195098325045395,0.011369934417360637,-0.010119969377814453,15.0,0.02103009711141146,0.0195098325045395,0.06781599456049477,13.8125,14.75,13.0,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,1.2,3.49,2,1.0776165686318533,0.020866530812631012,0.01936359501146428,0.007745365987008448,-0.02003229559937625,10.0,0.020866530812631012,0.01936359501146428,0.067797656007162,20.09090909090909,24.333333333333332,15.2,10.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,1.6,3.49,2,1.0727392531311286,0.022268911963049254,0.020758923380542284,0.01228948733361563,-0.011967569111748344,15.0,0.022268911963049254,0.020758923380542284,0.06749164990302096,13.8125,16.0,11.75,15.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,1.6,3.49,2,1.0716702593459346,0.013180514041323033,0.012299038744779021,0.0014401535895873375,-0.010449276642465866,4.0,0.013180514041323033,0.012299038744779021,0.06745702930599033,55.25,47.333333333333336,40.0,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
1.0,2.0,3.49,2,1.0711279678459669,0.021893839981635077,0.02043998536016521,0.011491794591030764,-0.010433892215984675,14.0,0.021893839981635077,0.02043998536016521,0.06739346383675122,14.733333333333333,15.75,13.714285714285714,14.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,2.0,3.49,2,1.044667338075682,0.014812685834842299,0.014179332783704951,0.002716843507690627,-0.010095724447832133,5.0,0.014812685834842299,0.014179332783704951,0.06577378157297774,36.833333333333336,46.0,28.0,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,1.6,3.49,2,1.0247594840767864,0.01174985922842331,0.011465967781707184,0.0013463191499133707,-0.010904746312400015,3.0,0.01174985922842331,0.011465967781707184,0.06454015282138452,55.25,71.0,40.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,1.6,3.49,2,1.0033622438574668,0.011058689743920436,0.011021632328325268,0.0017292845880820752,-0.009480234628581385,4.0,0.011058689743920436,0.011021632328325268,0.0632075063504415,44.2,47.666666666666664,39.5,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
