feature,weight,abs_weight_rank
z_stoch_k_21,0.4223565251525861,1
z_rsi_21,0.37478233815492695,2
z_ewma_active_return_21,0.3744230566789081,3
z_stoch_k_63,0.3365065484914773,4
z_macd_21_63,0.29738343260488864,5
z_rsi_8,0.2710324893331541,6
z_ewma_active_return_8,0.2529363405951866,7
z_ewma_active_return_63,0.24717371720877773,8
z_stoch_k_8,0.2087216014632919,9
z_rsi_63,0.18265869808886087,10
z_market_momentum_21,0.1546450139235151,11
z_macd_8_21,0.1421799197224223,12
z_volatility_ratio_21_63,0.08397635656802316,13
z_market_momentum_63,0.07344110937892277,14
z_downside_deviation,0.06805552653514345,15
z_market_breadth_ma_21,0.028590581906869507,16
z_market_volatility_21,0.02662076690343924,17
z_market_breadth_ma_63,0.023634162590077404,18
z_market_return,0.022077762520550503,19
z_market_breadth,0.006591351582548464,20
z_market_volatility_63,0.002212852051127046,21
z_active_beta,0.0,22
