"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-4-17","4,728.67","4,729.00","4,738.32","4,714.47","182.92K","-0.17%"
"2026-4-16","4,736.61","4,694.43","4,739.22","4,689.41","192.06K","1.10%"
"2026-4-15","4,685.25","4,726.64","4,731.27","4,672.56","201.69K","-0.34%"
"2026-4-14","4,701.28","4,676.12","4,701.28","4,654.85","204.70K","1.19%"
"2026-4-13","4,646.15","4,615.13","4,653.40","4,615.13","196.71K","0.21%"
"2026-4-10","4,636.57","4,594.95","4,655.10","4,590.11","208.68K","1.54%"
"2026-4-9","4,566.22","4,562.67","4,579.20","4,552.42","184.94K","-0.64%"
"2026-4-8","4,595.56","4,517.34","4,595.56","4,513.77","253.34K","3.49%"
"2026-4-7","4,440.62","4,445.86","4,458.93","4,420.69","162.64K","0.00%"
"2026-4-3","4,440.79","4,492.85","4,494.46","4,437.60","168.32K","-0.85%"
"2026-4-2","4,478.91","4,514.44","4,519.69","4,459.61","190.99K","-1.04%"
"2026-4-1","4,526.07","4,517.27","4,532.11","4,492.05","216.48K","1.71%"
"2026-3-31","4,450.05","4,491.92","4,523.17","4,450.05","224.54K","-0.93%"
"2026-3-30","4,491.95","4,461.74","4,496.41","4,447.14","209.29K","-0.24%"
"2026-3-27","4,502.57","4,431.50","4,519.89","4,431.42","192.40K","0.56%"
"2026-3-26","4,477.53","4,525.33","4,541.05","4,468.96","213.74K","-1.32%"
"2026-3-25","4,537.47","4,506.62","4,542.18","4,502.03","262.64K","1.40%"
"2026-3-24","4,474.72","4,458.91","4,474.83","4,394.29","255.53K","1.28%"
"2026-3-23","4,418.00","4,499.10","4,514.72","4,397.57","328.08K","-3.26%"
"2026-3-20","4,567.02","4,602.82","4,628.71","4,563.07","257.87K","-0.35%"
"2026-3-19","4,583.25","4,611.44","4,634.55","4,570.39","254.13K","-1.61%"
"2026-3-18","4,658.33","4,648.75","4,662.29","4,604.52","234.69K","0.45%"
"2026-3-17","4,637.44","4,685.57","4,720.86","4,637.37","263.02K","-0.73%"
"2026-3-16","4,671.56","4,669.22","4,673.69","4,621.81","296.22K","0.05%"
"2026-3-13","4,669.14","4,669.06","4,707.42","4,659.50","310.77K","-0.39%"
"2026-3-12","4,687.56","4,700.72","4,704.38","4,654.31","302.99K","-0.36%"
"2026-3-11","4,704.50","4,681.03","4,711.87","4,674.71","270.18K","0.64%"
"2026-3-10","4,674.76","4,648.79","4,677.60","4,648.79","263.90K","1.28%"
"2026-3-9","4,615.46","4,600.25","4,625.98","4,548.97","322.79K","-0.97%"
"2026-3-6","4,660.44","4,621.49","4,671.71","4,612.79","238.53K","0.27%"
"2026-3-5","4,647.69","4,651.94","4,671.53","4,630.30","259.32K","0.98%"
"2026-3-4","4,602.62","4,609.19","4,639.42","4,575.82","303.04K","-1.14%"
"2026-3-3","4,655.90","4,737.32","4,744.60","4,651.40","370.62K","-1.54%"
"2026-3-2","4,728.67","4,681.01","4,735.41","4,667.28","349.26K","0.38%"
"2026-2-27","4,710.65","4,698.30","4,721.01","4,692.89","261.42K","-0.34%"
"2026-2-26","4,726.87","4,741.39","4,742.15","4,706.69","234.85K","-0.19%"
"2026-2-25","4,735.89","4,713.58","4,766.56","4,713.34","284.27K","0.60%"
"2026-2-24","4,707.54","4,727.30","4,727.37","4,698.35","218.49K","1.01%"
"2026-2-13","4,660.41","4,693.41","4,703.63","4,658.40","189.17K","-1.25%"
"2026-2-12","4,719.58","4,720.01","4,726.04","4,707.74","197.84K","0.12%"
"2026-2-11","4,713.82","4,715.67","4,723.70","4,703.69","173.39K","-0.22%"
"2026-2-10","4,724.30","4,718.26","4,732.09","4,713.87","187.00K","0.11%"
"2026-2-9","4,719.06","4,693.67","4,719.96","4,679.90","207.25K","1.63%"
"2026-2-6","4,643.60","4,622.97","4,678.26","4,606.64","202.72K","-0.57%"
"2026-2-5","4,670.42","4,664.75","4,687.02","4,639.43","237.86K","-0.60%"
"2026-2-4","4,698.68","4,647.97","4,701.48","4,641.84","264.88K","0.83%"
"2026-2-3","4,660.11","4,648.36","4,662.13","4,578.21","265.55K","1.18%"
"2026-2-2","4,605.98","4,674.28","4,716.61","4,601.76","304.77K","-2.13%"
"2026-1-30","4,706.34","4,723.08","4,738.87","4,645.47","319.79K","-1.00%"
"2026-1-29","4,753.87","4,733.09","4,770.96","4,696.05","415.51K","0.76%"
"2026-1-28","4,717.99","4,725.60","4,739.63","4,697.91","382.26K","0.26%"
"2026-1-27","4,705.69","4,705.17","4,736.99","4,675.64","301.48K","-0.03%"
"2026-1-26","4,706.96","4,715.38","4,754.18","4,693.16","363.00K","0.09%"
"2026-1-23","4,702.50","4,729.58","4,734.79","4,684.62","314.64K","-0.45%"
"2026-1-22","4,723.71","4,741.75","4,757.76","4,700.45","274.20K","0.01%"
"2026-1-21","4,723.07","4,714.55","4,758.28","4,714.24","266.35K","0.09%"
"2026-1-20","4,718.88","4,736.91","4,748.23","4,684.97","282.72K","-0.33%"
"2026-1-19","4,734.46","4,720.19","4,761.63","4,715.09","267.61K","0.05%"
"2026-1-16","4,731.87","4,778.43","4,792.55","4,715.36","325.28K","-0.41%"
"2026-1-15","4,751.43","4,721.80","4,769.55","4,720.94","254.00K","0.20%"
"2026-1-14","4,741.93","4,767.70","4,818.10","4,720.25","364.95K","-0.40%"
"2026-1-13","4,761.03","4,798.05","4,836.96","4,745.52","301.45K","-0.60%"
"2026-1-12","4,789.92","4,769.65","4,795.93","4,737.57","294.83K","0.65%"
"2026-1-9","4,758.92","4,725.96","4,771.43","4,719.13","254.69K","0.45%"
"2026-1-8","4,737.65","4,761.01","4,765.49","4,717.01","238.81K","-0.82%"
